name,contry_origin,domain,price_category,founded,presence_world,presence_russia,presence_regions
Bang & Olufsen,Дания,Бытовая техника,Выше среднего,1925.0,,15,Москва; Санкт-Петербург; Владивосток; Екатеринбург; Ижевск; Иркутск; Казань; Калининград; Краснодар; Новосибирск; Пермь; Ростов-на-Дону; Тюмень
Bantino Proviani,Россия,Услуги населению,Средний,2012.0,1.0,1 и 8 франчайзинговых,Санкт-Петербург; Кемерово; Мурманск; Набережные Челны; Севастополь; Стерлитамак; Уссурийск
Baon,Россия,Одежда,Средний; Выше среднего,1992.0,150.0,80 и 70 франчайзинговых,Москва; Барнаул; Бийск; Великий Новгород; Владимир; Волжский; Вологда; Екатеринбург; Златоуст; Иваново; Ижевск; Йошкар-Ола; Казань; Калуга; Каменск-Уральский; Кемерово; Киров; Королев; Кострома; Краснодар; Красноярск; Курган; Липецк; Магнитогорск; Миасс; Находка; Нижневартовск; Нижний Новгород; Новосибирск; Омск; Орел; Пенза; Пермь; Петропавловск-Камчатский; Пятигорск; Ростов-на-Дону; Рязань; Саратов; Сочи; Ставрополь; Старый Оскол; Сургут; Сызрань; Тамбов; Тобольск; Тольятти; Томск; Тюмень; Ульяновск; Уфа; Чебоксары
Barbarossa,Россия,Красота,Средний,2018.0,2.0,2 и 7 франчайзинговых,Москва; Балашиха; Клин; Липецк; Омск; Сочи; Сургут
Barcelo Biagi,Испания,Обувь,Выше среднего,1987.0,15.0,15,Москва; Санкт-Петербург; Волгоград; Воронеж; Екатеринбург; Казань; Краснодар; Нижний Новгород; Новосибирск; Омск; Пермь; Ростов-на-Дону; Самара; Уфа; Челябинск
BARISTA Eco.Smart.Coffee,Россия,"Кафе, ресторан",Средний,2010.0,5.0,5 и 7 франчайзинговых,Санкт-Петербург; Пенза; Саратов
Baroni,Италия,Одежда,Средний,1960.0,13.0,4,Москва
Basconi,Италия,Обувь,Средний,1942.0,100.0,50,Москва; Санкт-Петербург; Архангельск; Калининград; Краснодар; Мурманск; Находка; Нижний Новгород; Омск; Реутов; Стерлитамак; Томск; Чита; Южно-Сахалинск; Якутск; Ярославль
BAZAR,Россия,"Кафе, ресторан",Средний,2012.0,,5,Москва; Иваново; Ярославль
BB&Burgers,Россия,"Кафе, ресторан",Средний,2013.0,13.0,13,Москва; Санкт-Петербург
BEAUTY BOUTIQUE,Россия,Красота,Люкс / Премиум,,15.0,15,Москва
Beauty Kitchen,Россия,Красота,Средний,2015.0,,3 и 2 франчайзинговых,Москва; Иркутск; Киров; Ульяновск
BEBAKIDS,Россия,Товары и услуги для детей,Средний; Выше среднего,2004.0,20.0,20 и 6 франчайзинговых,Москва; Санкт-Петербург; Воронеж; Котельники; Краснодар; Курск; Махачкала; Сургут; Ярославль
befree,Россия,Одежда,Средний,2002.0,200.0,154 и 46 франчайзинговых,Москва; Санкт-Петербург; Абакан; Архангельск; Астрахань; Барнаул; Белгород; Березники; Благовещенск; Брянск; Великий Новгород; Владимир; Волгоград; Вологда; Воронеж; Екатеринбург; Зеленоград; Иваново; Ижевск; Иркутск; Йошкар-Ола; Казань; Калуга; Кемерово; Киров; Ковров; Краснодар; Красноярск; Курган; Ленинск-Кузнецкий; Липецк; Магадан; Магнитогорск; Миасс; Мурманск; Набережные Челны; Нефтекамск; Нефтеюганск; Нижневартовск; Нижнекамск; Нижний Новгород; Нижний Тагил; Новокузнецк; Новокуйбышевск; Новороссийск; Новосибирск; Ноябрьск; Обнинск; Октябрьский; Омск; Орел; Оренбург; Орск; Пенза; Пермь; Петрозаводск; Подольск; Пятигорск; Ростов-на-Дону; Рязань; Самара; Саранск; Саратов; Северодвинск; Серпухов; Смоленск; Сочи; Ставрополь; Сургут; Сыктывкар; Тверь; Тольятти; Туапсе; Тула; Тюмень; Улан-Удэ; Ульяновск; Уфа; Ухта; Хабаровск; Чебоксары; Череповец; Электросталь; Южно-Сахалинск; Якутск; Ярославль
